ID_Contrato;Nome_Assessoria;Data_Envio_Assessoria;Dias_Em_Atraso_Inicial;Valor_Inadimplente_Inicial;Status_Cobranca;Score_Interno_Risco;Regiao_Cliente;ID_Pagamento;Numero_Parcela;Data_Vencimento;Data_Pagamento;Valor_Parcela;Valor_Pago;Forma_Pagamento;Indicador_Contemplado;Status_Parcela;Dias_Atraso_Efetivo;Classificacao_Risco;Taxa_Recuperacao_Percentual;Saldo_Devedor
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0015192;2;2025-05-19;2025-05-16;450;450.0;Pix;Não;Paga;0.0;Regular;1.799432099229483;24557.89
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0024059;26;2025-04-14;2025-05-04;600;615.96;Boleto;Não;Paga;20.0;Regular;2.4630626574253167;24391.93
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0031813;43;2026-02-05;2026-04-01;850;882.43;Pix;Não;Paga;55.0;Regular;3.52860637182905;24125.46
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0040082;27;2025-11-17;2025-12-08;450;462.12;Pix;Não;Paga;21.0;Regular;1.8478968037687307;24545.77
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0044544;38;2026-02-11;2026-02-06;600;600.0;Pix;Não;Paga;0.0;Regular;2.399242798972644;24407.89
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0056544;30;2025-06-27;;450;0.0;Boleto;Sim;Em Aberto;0.0;Crítico;0.0;25007.89
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0060048;36;2026-02-04;;600;0.0;Débito Automático;Sim;Em Aberto;0.0;Crítico;0.0;25007.89
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0063888;14;2025-06-16;;600;0.0;Boleto;Não;Em Aberto;0.0;Crítico;0.0;25007.89
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0068859;19;2025-02-28;2025-02-24;1500;1500.0;Boleto;Não;Paga;0.0;Regular;5.99810699743161;23507.89
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0071842;51;2025-02-19;;850;0.0;Boleto;Não;Em Aberto;0.0;Crítico;0.0;25007.89
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0083408;32;2025-02-18;2025-02-17;450;450.0;Pix;Não;Paga;0.0;Regular;1.799432099229483;24557.89
CONTR_2026_00001;Vértice Asset & Cobrança;2026-02-24;49;25007.89;Acordo Firmado;39.0;Sudeste;PAG_0089849;11;2025-03-15;;1500;0.0;Boleto;Não;Em Aberto;0.0;Crítico;0.0;25007.89
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0001599;1;2026-01-19;2026-01-17;450;450.0;Boleto;Não;Paga;0.0;Regular;5.326332559634211;7998.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0001696;53;2025-05-09;2025-05-09;850;850.0;Boleto;Não;Paga;0.0;Regular;10.060850390420176;7598.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0005869;47;2025-12-21;2026-01-02;600;614.38;Pix;Não;Paga;12.0;Regular;7.271982662195703;7834.21
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0017807;57;2026-01-29;2026-01-24;450;450.0;Pix;Não;Paga;0.0;Regular;5.326332559634211;7998.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0021208;48;2025-09-12;2025-09-09;600;600.0;Boleto;Não;Paga;0.0;Regular;7.101776746178948;7848.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0035400;47;2025-01-29;2025-01-24;450;450.0;Débito Automático;Sim;Paga;0.0;Regular;5.326332559634211;7998.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0036845;26;2025-05-11;2025-05-08;450;450.0;Boleto;Sim;Paga;0.0;Regular;5.326332559634211;7998.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0060094;14;2025-04-17;2025-07-19;1200;1260.83;Boleto;Sim;Paga;93.0;Regular;14.923555291474672;7187.76
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0063595;46;2025-04-03;2025-03-30;450;450.0;Boleto;Sim;Paga;0.0;Regular;5.326332559634211;7998.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0066207;48;2025-09-03;;450;0.0;Pix;Não;Em Aberto;0.0;Crítico;0.0;8448.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0073626;11;2025-01-31;;450;0.0;Pix;Sim;Em Aberto;0.0;Crítico;0.0;8448.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0075111;44;2025-12-31;;450;0.0;Pix;Não;Em Aberto;0.0;Crítico;0.0;8448.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0076600;25;2026-03-01;2026-04-10;600;619.92;Pix;Não;Paga;40.0;Regular;7.3375557341520885;7828.67
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0090937;56;2025-08-10;2025-08-10;850;850.0;Boleto;Não;Paga;0.0;Regular;10.060850390420176;7598.59
CONTR_2026_00002;Vértice Asset & Cobrança;2026-04-06;38;8448.59;Acordo Firmado;3.0;Sudeste;PAG_0094363;20;2025-08-08;;600;0.0;Boleto;Sim;Em Aberto;0.0;Crítico;0.0;8448.59
CONTR_2026_00003;Acerta Crédito Integrado;2026-02-05;152;1951.4;Insucesso;52.0;Sudeste;PAG_0004007;38;2026-01-05;;1500;0.0;Débito Automático;Sim;Em Aberto;0.0;Crítico;0.0;1951.4
CONTR_2026_00003;Acerta Crédito Integrado;2026-02-05;152;1951.4;Insucesso;52.0;Sudeste;PAG_0008432;53;2025-09-28;2025-09-24;600;600.0;Boleto;Sim;Paga;0.0;Regular;30.747155888080353;1351.4
CONTR_2026_00003;Acerta Crédito Integrado;2026-02-05;152;1951.4;Insucesso;52.0;Sudeste;PAG_0025918;20;2025-02-21;2025-02-16;850;850.0;Boleto;Não;Paga;0.0;Regular;43.55847084144717;1101.4
CONTR_2026_00003;Acerta Crédito Integrado;2026-02-05;152;1951.4;Insucesso;52.0;Sudeste;PAG_0039004;12;2025-08-17;2025-08-13;850;850.0;Pix;Sim;Paga;0.0;Regular;43.55847084144717;1101.4
CONTR_2026_00003;Acerta Crédito Integrado;2026-02-05;152;1951.4;Insucesso;52.0;Sudeste;PAG_0049592;11;2025-11-05;2025-11-04;600;600.0;Boleto;Não;Paga;0.0;Regular;30.747155888080353;1351.4
CONTR_2026_00003;Acerta Crédito Integrado;2026-02-05;152;1951.4;Insucesso;52.0;Sudeste;PAG_0073014;51;2025-07-09;2025-07-06;450;450.0;Pix;Não;Paga;0.0;Regular;23.060366916060264;1501.4
CONTR_2026_00003;Acerta Crédito Integrado;2026-02-05;152;1951.4;Insucesso;52.0;Sudeste;PAG_0079898;54;2026-03-11;2026-06-07;1200;1258.85;Boleto;Não;Paga;88.0;Regular;64.51009531618325;692.5500000000002
CONTR_2026_00003;Acerta Crédito Integrado;2026-02-05;152;1951.4;Insucesso;52.0;Sudeste;PAG_0088925;19;2025-02-11;;450;0.0;Débito Automático;Sim;Em Aberto;0.0;Crítico;0.0;1951.4
CONTR_2026_00004;Nexus Mediação Financeira;2026-04-24;84;429512.0;Em Aberto;68.0;Centro-Oeste;PAG_0020421;32;2026-01-21;;600;0.0;Boleto;Não;Em Aberto;0.0;Crítico;0.0;429512.0
CONTR_2026_00004;Nexus Mediação Financeira;2026-04-24;84;429512.0;Em Aberto;68.0;Centro-Oeste;PAG_0025282;42;2025-07-12;2025-07-12;600;600.0;Pix;Não;Paga;0.0;Regular;0.1396934195086517;428912.0
CONTR_2026_00004;Nexus Mediação Financeira;2026-04-24;84;429512.0;Em Aberto;68.0;Centro-Oeste;PAG_0026192;42;2025-10-08;2025-10-08;600;600.0;Pix;Não;Paga;0.0;Regular;0.1396934195086517;428912.0
CONTR_2026_00004;Nexus Mediação Financeira;2026-04-24;84;429512.0;Em Aberto;68.0;Centro-Oeste;PAG_0036549;31;2025-08-03;;600;0.0;Boleto;Não;Em Aberto;0.0;Crítico;0.0;429512.0
CONTR_2026_00004;Nexus Mediação Financeira;2026-04-24;84;429512.0;Em Aberto;68.0;Centro-Oeste;PAG_0036835;13;2025-07-16;;600;0.0;Boleto;Não;Em Aberto;0.0;Crítico;0.0;429512.0
